regiao;filial;real_mes;grupo
REGIÃO 1  - NOROESTE;3;422135,42;Regionais
REGIÃO 1  - NOROESTE;5;230439,78;Regionais
REGIÃO 1  - NOROESTE;7;262253,11;Regionais
REGIÃO 1  - NOROESTE;8;196285,41;Regionais
REGIÃO 1  - NOROESTE;9;288531,06;Regionais
REGIÃO 1  - NOROESTE;10;166559,79;Regionais
REGIÃO 1  - NOROESTE;12;306439,36;Regionais
REGIÃO 1  - NOROESTE;14;441777,91;Regionais
REGIÃO 1  - NOROESTE;15;249557,78;Regionais
REGIÃO 1  - NOROESTE;16;252545,96;Regionais
REGIÃO 1  - NOROESTE;17;189925,45;Regionais
REGIÃO 1  - NOROESTE;19;325499,22;Regionais
REGIÃO 1  - NOROESTE;21;835560,69;Regionais
REGIÃO 1  - NOROESTE;23;322034,64;Regionais
REGIÃO 1  - NOROESTE;26;196018,89;Regionais
REGIÃO 1  - NOROESTE;34;161497,45;Regionais
REGIÃO 1  - NOROESTE;37;254270,32;Regionais
REGIÃO 1  - NOROESTE;38;96275,85;Regionais
REGIÃO 1  - NOROESTE;41;164933,14;Regionais
REGIÃO 1  - NOROESTE;58;95544,68;Regionais
REGIÃO 1  - NOROESTE;68;117371,4;Regionais
REGIÃO 1  - NOROESTE;280;106664,9;Regionais
REGIÃO 1  - NOROESTE;308;123889,9;Regionais
REGIÃO 1  - NOROESTE;312;246841,62;Regionais
REGIÃO 1  - NOROESTE;371;159572,09;MNM_RS
REGIÃO 1  - NOROESTE;374;137620,02;Regionais
REGIÃO 1  - NOROESTE;379;82915,29;Regionais
REGIÃO 1  - NOROESTE;646;110904,56;LN_1a
REGIÃO 1  - NOROESTE;654;88037,68;LN_1a
REGIÃO 2  - MISSÕES;4;206902;MNM_RS
REGIÃO 2  - MISSÕES;11;85354,67;Regionais
REGIÃO 2  - MISSÕES;20;119135,72;Regionais
REGIÃO 2  - MISSÕES;22;314332,21;Regionais
REGIÃO 2  - MISSÕES;24;312246,19;Regionais
REGIÃO 2  - MISSÕES;29;228782,45;MNM_RS
REGIÃO 2  - MISSÕES;30;149028,55;Regionais
REGIÃO 2  - MISSÕES;39;229888,87;Regionais
REGIÃO 2  - MISSÕES;46;282210,79;Regionais
REGIÃO 2  - MISSÕES;52;316007,09;Regionais
REGIÃO 2  - MISSÕES;60;114981,34;Regionais
REGIÃO 2  - MISSÕES;61;78758,81;Regionais
REGIÃO 2  - MISSÕES;62;126634,06;MNM_RS
REGIÃO 2  - MISSÕES;71;102375,73;Regionais
REGIÃO 2  - MISSÕES;72;504049,53;Regionais
REGIÃO 2  - MISSÕES;76;304581,79;Regionais
REGIÃO 2  - MISSÕES;80;114771,79;MNM_RS
REGIÃO 2  - MISSÕES;171;143670,71;Regionais
REGIÃO 2  - MISSÕES;186;216739,89;MNM_RS
REGIÃO 2  - MISSÕES;316;222718,97;Regionais
REGIÃO 2  - MISSÕES;324;153954,62;Regionais
REGIÃO 2  - MISSÕES;366;132277,76;Regionais
